word,n
tax,15
terms,15
true,15
upset,15
viewed,15
violated,15
witch,15
write,15
aides,14
applies,14
asserted,14
assigned,14
associates,14
atterttey,14
campaigns,14
ce,14
claiming,14
claims,14
club,14
constitutionally,14
contrary,14
coordinated,14
copy,14
covered,14
ct,14
defraud,14
derogatory,14
detailed,14
developed,14
encounter,14
executed,14
exhibit,14
fabrizio,14
falsely,14
feti,14
files,14
firm,14
foundation,14
framework,14
friends,14
functions,14
governing,14
happen,14
https,14
inferior,14
introduce,14
joseph,14
landrum,14
motivated,14
object,14
oversight,14
passed,14
past,14
poliakova,14
prevezon,14
property,14
putin's,14
relating,14
school,14
scro,14
sources,14
ssci,14
start,14
steele,14
steps,14
suggesting,14
suggestion,14
test,14
unable,14
views,14
wark,14
weber,14
website,14
anti,13
attempts,13
citizen,13
commit,13
complete,13
contributions,13
conveyed,13
covers,13
deals,13
detail,13
determine,13
donaldtrump,13
dvorkovich,13
engage,13
eric,13
exclusive,13
extent,13
helped,13
hired,13
impact,13
indicating,13
inference,13
info,13
ing,13
intrusions,13
kennedy,13
key,13
konstantin,13
lies,13
lift,13
listed,13
lunch,13
major,13
management,13
manner,13
mccord,13
natural,13
o.l.c,13
operating,13
operation,13
parties,13
payments,13
performance,13
pompeo,13
portion,13
posts,13
preteetecl,13
primary,13
proffer,13
prosecuted,13
provisions,13
reading,13
recused,13
referenced,13
sam,13
schmidt,13
sean,13
sic,13
significant,13
site,13
strategy,13
subjects,13
telephone,13
testify,13
touch,13
type,13
understand,13
unfair,13
actual,12
admitted,12
advertisements,12
announce,12
approach,12
archive,12
balancing,12
bill,12
candidacy,12
cl,12
classified,12
cleared,12
client,12
coming,12
commencement,12
complaint,12
completed,12
confirmation,12
corey,12
davis,12
dcleaks.com,12
defendants,12
designed,12
disclosure,12
dmitriev's,12
drafting,12
emphasis,12
exchange,12
existed,12
followers,12
glassner,12
highly,12
impair,12
indirectly,12
inside,12
instructed,12
interacted,12
invite,12
j.d,12
leader,12
love,12
maintained,12
malloch,12
mcgahn's,12
ministry,12
named,12
nations,12
obstructing,12
ofthe,12
oleg,12
operated,12
pageant,12
perform,12
perjury,12
pertaining,12
positive,12
preparing,12
previous,12
prnteeted,12
produced,12
promote,12
proof,12
prosecutions,12
purchased,12
reaching,12
reacted,12
recent,12
recommended,12
results,12
reverse,12
rk,12
rozov,12
run,12
sarah,12
schedule,12
sections,12
sergei,12
starting,12
step,12
steve,12
supervision,12
supp,12
supported,12
supports,12
texted,12
uttaer,12
ven,12
version,12
win,12
affect,11
apparent,11
appointments,11
assessed,11
atteme,11
attempted,11
awareness,11
badly,11
ban,11
broadly,11
broke,11
burnham,11
calling,11
code,11
cohn,11
consideration,11
creation,11
credibility,11
criticizing,11
crown,11
dated,11
dates,11
david,11
democrats,11
denis,11
desire,11
documenting,11
ensure,11
evidentiary,11
faithfully,11
felix,11
fine,11
flip,11
focus,11
formal,11
funds,11
global,11
haberman,11
host,11
hpsci,11
interfering,11
involve,11
io,11
judges,11
k.t,11
lago,11
leave,11
limitation,11
ll,11
logan,11
ltg,11
maggie,11
malicious,11
mayflower,11
miss,11
monday,11
noting,11
opposed,11
paid,11
papadopoulos's,11
pence,11
personas,11
politics,11
pred1,11
pretittet,11
prigozhin,11
principally,11
probable,11
protection,11
qualify,11
rally,11
recognizing,11
reince,11
rejected,11
require,11
required,11
residence,11
resulted,11
return,11
s.c,11
s.d.n.y,11
sending,11
sharing,11
signs,11
spearphishing,11
spring,11
standards,11
sunday,11
table,11
ten_gop,11
terminating,11
theft,11
threatened,11
transferred,11
undermine,11
understanding,11
universe,11
updated,11
variety,11
weekend,11
woman,11
10th,10
"30,000",10
accepted,10
accompanied,10
administrator,10
advertisement,10
akhmetshin,10
andrew,10
angry,10
announcement,10
anticipated,10
availability,10
browder,10
build,10
buryakov,10
businessman,10
calendar,10
ceataia,10
changed,10
circumstantial,10
clintons,10
confirms,10
consultant,10
continue,10
continuing,10
convicted,10
countries,10
destruction,10
dimitri,10
directive,10
disclosed,10
documentary,10
facilitate,10
fake,10
fetl,10
fictitious,10
final,10
gmail.com,10
hackers,10
henry,10
i.e,10
identity,10
impeachment,10
inauguration,10
initially,10
instances,10
intention,10
inter,10
intrusion,10
judge,10
ledgett,10
legitimacy,10
levels,10
local,10
mashburn,10
memo,10
memoranda,10
mention,10
middle,10
missing,10
nerk,10
nork,10
notified,10
offering,10
oligarch,10
partner,10
password,10
pericles,10
podobnyy,10
prea1,10
progress,10
projects,10
promoted,10
proper,10
prosecutors,10
rasin,10
recorded,10
referring,10
registration,10
regularly,10
reporter,10
reviewed,10
rob,10
rt,10
secure,10
sentencing,10
serving,10
stayed,10
stole,10
structure,10
subsequently,10
surrounding,10
sustain,10
tag,10
tendency,10
threat,10
tn,10
trusted,10
unique,10
violating,10
willfully,10
11th,9
5th,9
abandoned,9
activists,9
addressed,9
addressing,9
administrative,9
agencies,9
alfa,9
ambassadors,9
assess,9
atterhe,9
benefit,9
biggest,9
bloc,9
branded,9
break,9
caputo,9
chat,9
children,9
cohtaih,9
committees,9
communicating,9
complained,9
confidential,9
conspiring,9
consultation,9
corroborated,9
costello,9
credible,9
curtail,9
dcleaks_,9
defendant's,9
defined,9
departure,9
description,9
dictionary,9
dispute,9
exchanged,9
experts,9
explicitly,9
fair,9
fec,9
free,9
gained,9
governmental,9
governments,9
hold,9
holding,9
holdings,9
hundreds,9
illegal,9
impression,9
imprisonment,9
initiative,9
