text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
If the #MuellerReport exonerates Lying Donnie #DonTheCon @realDonaldTrump #POTUS why not let #America hear it from… https://t.co/rmQs7WCUwy,FALSE,0,NA,2019-05-06T23:03:34Z,TRUE,NA,1125536613273088002,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RJ1340,0,FALSE,FALSE,NA,NA
RT @SUR_Utah: Thank you @SenatorRomney for putting aside blind partisan loyalty and taking the shameful and corrupt allegations of the #Mue…,FALSE,0,NA,2019-05-06T23:03:34Z,FALSE,NA,1125536612765577216,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Laura_A_Diaz,62,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:03:25Z,FALSE,NA,1125536576086237185,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",trumpathetic,2407,TRUE,FALSE,NA,NA
RT @PaulaChertok: 🙄😒Pathetic! @RepKinzinger once spoke out about Trump’s dangerous conduct. Now Adam falls in line w/ GOP apologists: It’s…,FALSE,0,NA,2019-05-06T23:03:22Z,FALSE,NA,1125536560705785856,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Helflower,5,TRUE,FALSE,NA,NA
"RT @DrGJackBrown: THREAD:  Body Language Analysis No. 4381: Trump 'jokes' about staying in office for ""at least for 10 or 14 years"" • https…",FALSE,0,NA,2019-05-06T23:03:21Z,FALSE,NA,1125536557660688384,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CanadiensFan,427,TRUE,FALSE,NA,NA
RT @nbcchicago: Democrats set contempt vote for Barr over #MuellerReport https://t.co/ZFZ3fCv8mP,FALSE,0,NA,2019-05-06T23:02:58Z,FALSE,NA,1125536459828748294,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NicolRiggs7,2,TRUE,FALSE,NA,NA
🙄😒Pathetic! @RepKinzinger once spoke out about Trump’s dangerous conduct. Now Adam falls in line w/ GOP apologists:… https://t.co/djERRf0AO8,FALSE,5,NA,2019-05-06T23:02:57Z,TRUE,NA,1125536455260905472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PaulaChertok,5,FALSE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:02:49Z,FALSE,NA,1125536423392763904,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",galwaygirl129,2407,TRUE,FALSE,NA,NA
"RT @with_integrity: The Mueller Report - Expensive Estimations And Elusive Evidence

https://t.co/pmojxdGpHq

#Guccifer2 #RussiaGate #Muell…",FALSE,0,NA,2019-05-06T23:02:31Z,FALSE,NA,1125536348440616960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheBendu1,87,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:02:20Z,FALSE,NA,1125536301711810572,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cauliflower346,2407,TRUE,FALSE,NA,NA
"RT @tedlieu: Based on Bill Barr's pattern of behavior and some inexplicable answers under oath, I'm beginning to think that not only did he…",FALSE,0,NA,2019-05-06T23:02:01Z,FALSE,NA,1125536223148347393,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sylviaakabibi,9932,TRUE,FALSE,NA,NA
@realDonaldTrump Thankfully #Manafort and his fraud and tax evasion paid for it easily. #MuellerReport,FALSE,0,realDonaldTrump,2019-05-06T23:01:32Z,FALSE,1125098704560689157,1125536098980179968,25073877,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realfoodworld,0,FALSE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:01:31Z,FALSE,NA,1125536096765521921,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BetzD,2407,TRUE,FALSE,NA,NA
"RT @carriecordero: I don’t subscribe to many of @Judgenap ‘s views on surveillance &amp; national security, but he’s done a real public service…",FALSE,0,NA,2019-05-06T23:01:25Z,FALSE,NA,1125536070043615234,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JimSwiftDC,8,TRUE,FALSE,NA,NA
